DATE,FLOW - gpd,pH - Low,pH - High
1,2469.61,6.01,11.83
2,2167.1,6.0,11.95
3,2435.73,6.0,11.31
4,no production,no production,no production
5,no production,no production,no production
6,2087.83,6.0,10.58
7,2235.88,6.0,11.96
8,2317.47,6.0,11.66
9,2332.15,6.0,11.95
10,2445.9,6.0,10.28
11,no production,no production,no production
12,no production,no production,no production
13,1858.12,6.0,10.74
14,1821.99,6.0,10.06
15,2281.51,6.05,11.45
16,2671.31,6.0,11.91
17,2473.43,6.0,11.85
18,no production,no production,no production
19,no production,no production,no production
20,1934.52,6.0,10.57
21,2163.45,6.0,11.93
22,2562.28,6.0,11.97
23,2594.24,6.0,11.96
24,2497.77,6.0,11.94
25,no production,no production,no production
26,no production,no production,no production
27,2161.12,6.0,11.95
28,2404.91,6.0,11.93
29,0.0,0.0,0.0
30,2071.16,6.0,11.69
